market_id,symbol,question,polarity,polarity_source,pct,converged,asset_confidence,question_confidence,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_entry_ts,_exit_ts,candidate_t_theta,candidate_t_e,_qty,_position_size_pct,_asset_entry_notional,_equity_at_entry,invested_frac_pct,_benchmark_sell_cost,_asset_buy_cost,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty
507493,ZIM,Longshoremen east coast strike by Oct 1?,1,override,0.87,YES,5.0,5.0,US East Coast Port Strike Exposure,0.63,train,2024-09-25,0.87,23.53,2024-09-30,25.66,resolution-1d,6.8,-5.99,9.05,2024-09-25 00:00:00+00:00,2024-09-30 00:00:00+00:00,2024-09-20,2024-10-01,514,0.11583962486859856,12094.42,104587.6,11.5639,6.74,7.85,resolution-1d,1094.82,1064.53,8.8019,30.29,13189.24,22.96
508672,USO,Israel strikes Iranian oil in October?,1,regex,0.8,NO,5.0,5.0,Middle East Geopolitical Oil Risk,0.8,train,2024-10-02,0.8,72.76,2024-10-07,79.2,poly<0.5308731735589346,6.38,-1.57,8.85,2024-10-02 00:00:00+00:00,2024-10-07 00:00:00+00:00,2024-10-02,2024-10-31,167,0.11583962486859856,12150.92,105348.21,11.5341,6.79,6.66,poly<0.5308731735589346,1075.48,1047.51,8.6208,27.97,13226.4,23.2685
508672,XLE,Israel strikes Iranian oil in October?,1,regex,0.8,NO,,0.0,Middle East Geopolitical Oil Risk,0.64,train,2024-10-02,0.8,45.36,2024-10-07,46.76,poly<0.5308731735589346,3.03,-1.11,3.08,2024-10-02 00:00:00+00:00,2024-10-07 00:00:00+00:00,2024-10-02,2024-10-31,268,0.11583962486859856,12156.48,105334.77,11.5408,6.77,7.02,poly<0.5308731735589346,375.2,347.25,2.8565,27.95,12531.68,22.0456
550768,MRK,FDA approves Merck’s clesrovimab infant RSV prevention (MK‑1654)?,1,regex,0.88,YES,6.0,6.0,Merck FDA Approval,0.95,train,2025-06-09,0.88,79.33,2025-06-13,81.71,profit_lock_3%,3.5,-0.83,3.0,2025-06-09 00:00:00+00:00,2025-06-13 00:00:00+00:00,2025-06-09,2025-06-17,164,0.11583962486859856,13010.12,112575.08,11.5568,7.22,7.08,profit_lock_3%,390.32,361.33,2.7773,28.99,13400.44,22.4217
552114,XLE,Israel strike on Iran on June 19?,1,regex,0.785,YES,,0.0,Middle East Oil Disruption,0.52,train,2025-06-16,0.785,43.92,2025-06-18,44.04,resolution-1d,1.68,-0.75,0.27,2025-06-16 00:00:00+00:00,2025-06-18 00:00:00+00:00,2025-06-13,2025-06-20,298,0.11583962486859856,13088.16,113159.53,11.5661,7.26,7.59,resolution-1d,35.76,6.04,0.0461,29.72,13123.92,21.942
551649,USO,Israel military action against Iran before August?,1,regex,1.0,YES,5.0,5.0,Israel-Iran Conflict,0.54,train,2025-06-13,1.0,80.22,2025-06-20,83.43,profit_lock_4%,4.04,-4.95,4.0,2025-06-13 00:00:00+00:00,2025-06-20 00:00:00+00:00,2025-06-12,2025-07-31,162,0.11583962486859856,12995.64,112491.59,11.5525,7.22,7.06,profit_lock_4%,520.02,490.94,3.7777,29.08,13515.66,22.718
553038,UNCY,FDA approves Unicycive’s Oxylanthanum Carbonate (OLC)?,1,regex,0.79,NO,5.0,5.0,Unicycive Therapeutics Regulatory Approval,0.95,train,2025-06-18,0.79,6.68,2025-06-20,6.34,poly<0.5308731735589346,0.0,-27.54,-5.09,2025-06-18 00:00:00+00:00,2025-06-20 00:00:00+00:00,2025-06-18,2025-06-28,1956,0.11583962486859856,13066.08,113002.54,11.5626,7.26,13.38,poly<0.5308731735589346,-665.04,-705.61,-5.4003,40.57,12401.04,20.8338
552099,USO,Israel military action against Iran in July?,1,regex,0.755,NO,6.0,6.0,Israel-Iran Conflict,0.54,train,2025-06-20,0.755,83.12,2025-06-24,73.0,poly<0.5308731735589346,0.54,-13.41,-12.18,2025-06-20 00:00:00+00:00,2025-06-24 00:00:00+00:00,2025-06-13,2025-07-31,155,0.11583962486859856,12883.6,112012.09,11.502,7.2,6.98,poly<0.5308731735589346,-1568.6,-1595.3,-12.3824,26.7,11315.0,18.627
554004,XLE,Israel strike on Iran on June 28?,1,regex,0.785,NO,,0.0,Middle East Oil Disruption,0.52,train,2025-06-20,0.785,44.49,2025-06-24,42.46,poly<0.5308731735589346,0.51,-4.93,-4.57,2025-06-20 00:00:00+00:00,2025-06-24 00:00:00+00:00,2025-06-20,2025-06-29,291,0.11583962486859856,12946.59,111997.91,11.5597,7.16,7.49,poly<0.5308731735589346,-590.73,-619.44,-4.7846,28.71,12355.86,20.3398
554677,USO,Will Iran strike a U.S. facility by Monday June  30?,1,regex,0.795,YES,6.0,6.0,Middle East Oil Disruption,0.675,train,2025-06-24,0.795,73.0,2025-06-27,73.28,resolution-1d,2.3,-1.41,0.38,2025-06-24 00:00:00+00:00,2025-06-27 00:00:00+00:00,2025-06-22,2025-06-30,176,0.11583962486859856,12848.0,111609.22,11.5116,7.17,7.04,resolution-1d,49.28,20.86,0.1623,28.42,12897.28,20.9511
